Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00    13962     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::difference_type std::__distance<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::input_iterator_tag)
  0.00      0.17     0.00    13952     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::begin() const
  0.00      0.17     0.00    13949     0.00     0.00  std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >::operator++()
  0.00      0.17     0.00    13588     0.00     0.00  std::_Select1st<std::pair<std::string const, void*> >::operator()(std::pair<std::string const, void*> const&) const
  0.00      0.17     0.00    13587     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::end() const
  0.00      0.17     0.00    13516     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, void*> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, void*> > const&) const
  0.00      0.17     0.00    12594     0.00     0.00  Buffer::empty() const
  0.00      0.17     0.00    12574     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.17     0.00    12265     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::~new_allocator()
  0.00      0.17     0.00    11591     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::new_allocator(__gnu_cxx::new_allocator<std::string*> const&)
  0.00      0.17     0.00    11564     0.00     0.00  std::allocator<std::string*>::~allocator()
  0.00      0.17     0.00    11410     0.00     0.00  Parser::peekIfEqual(std::string const&, std::string&)
  0.00      0.17     0.00    11391     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.17     0.00    11385     0.00     0.00  HttpTransaction::setHeaderOption(std::string const&, std::string const&)
  0.00      0.17     0.00    11176     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::operator-(int const&) const
  0.00      0.17     0.00    11142     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::back()
  0.00      0.17     0.00    10921     0.00     0.00  Time::elapsed(long) const
  0.00      0.17     0.00    10910     0.00     0.00  std::_Vector_base<std::string*, std::allocator<std::string*> >::_M_get_Tp_allocator()
  0.00      0.17     0.00    10893     0.00     0.00  std::allocator<std::string*>::allocator(std::allocator<std::string*> const&)
  0.00      0.17     0.00    10569     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.17     0.00    10562     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.17     0.00    10430     0.00     0.00  HttpParser::parseOptionHost()
  0.00      0.17     0.00    10405     0.00     0.01  HttpParser::parseOptions()
  0.00      0.17     0.00    10243     0.00     0.00  Mutex::lock()
  0.00      0.17     0.00    10229     0.00     0.00  std::_List_const_iterator<KeepAliveClient>::operator!=(std::_List_const_iterator<KeepAliveClient> const&) const
  0.00      0.17     0.00    10215     0.00     0.00  Mutex::unlock()
  0.00      0.17     0.00    10053     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      0.17     0.00     9830     0.00     0.00  MutexLock::~MutexLock()
  0.00      0.17     0.00     9730     0.00     0.00  std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> >::begin() const
  0.00      0.17     0.00     9722     0.00     0.00  std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**>::_S_buffer_size()
  0.00      0.17     0.00     9697     0.00     0.00  std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> >::end() const
  0.00      0.17     0.00     9676     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::difference_type __gnu_cxx::operator-<zAPI::ISendResponse* const*, zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >(__gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > > const&, __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > > const&)
  0.00      0.17     0.00     9540     0.00     0.00  Parser::readIdentifier(std::string&)
  0.00      0.17     0.00     9427     0.00     0.00  std::_List_iterator<KeepAliveClient>::operator*() const
  0.00      0.17     0.00     9411     0.00     0.00  HttpParser::parseOptionConnection()
  0.00      0.17     0.00     9178     0.00     0.00  std::_List_const_iterator<KeepAliveClient>::_List_const_iterator(std::_List_node_base const*)
  0.00      0.17     0.00     9140     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin() const
  0.00      0.17     0.00     9137     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      0.17     0.00     9122     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      0.17     0.00     9113     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end() const
  0.00      0.17     0.00     8599     0.00     0.00  Parser::appendIdentifier(std::string&)
  0.00      0.17     0.00     8573     0.00     0.00  void std::_Destroy<std::string**, std::string*>(std::string**, std::string**, std::allocator<std::string*>)
  0.00      0.17     0.00     8568     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, void*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, void*> >*)
  0.00      0.17     0.00     8547     0.00     0.00  Parser::saveContextPub()
  0.00      0.17     0.00     8519     0.00     0.00  void std::__destroy_aux<std::string**>(std::string**, std::string**, __true_type)
  0.00      0.17     0.00     8518     0.00     0.00  void std::_Destroy<std::string**>(std::string**, std::string**)
  0.00      0.17     0.00     8496     0.00     0.00  HttpParser::parseOptionContentLength()
  0.00      0.17     0.00     8486     0.00     0.00  HttpParser::parseOptionContentType()
  0.00      0.17     0.00     8482     0.00     0.00  HttpParser::parseOptionUserAgent()
  0.00      0.17     0.00     8458     0.00     0.00  HttpParser::parseOptionFrom()
  0.00      0.17     0.00     8450     0.00     0.00  Parser::readUntilEndOfLine(std::string&)
  0.00      0.17     0.00     8448     0.00     0.00  HttpParser::parseOptionDate()
  0.00      0.17     0.00     7969     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::construct(std::string**, std::string* const&)
  0.00      0.17     0.00     7916     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::push_back(std::string* const&)
  0.00      0.17     0.00     7867     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::clear()
  0.00      0.17     0.00     7756     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator--()
  0.00      0.17     0.00     7730     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::begin() const
  0.00      0.17     0.00     7716     0.00     0.00  __gnu_cxx::__normal_iterator<std::string* const*, std::vector<std::string*, std::allocator<std::string*> > >::difference_type __gnu_cxx::operator-<std::string* const*, std::string* const*, std::vector<std::string*, std::allocator<std::string*> > >(__gnu_cxx::__normal_iterator<std::string* const*, std::vector<std::string*, std::allocator<std::string*> > > const&, __gnu_cxx::__normal_iterator<std::string* const*, std::vector<std::string*, std::allocator<std::string*> > > const&)
  0.00      0.17     0.00     7704     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::size() const
  0.00      0.17     0.00     7700     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::end() const
  0.00      0.17     0.00     7523     0.00     0.01  HttpParser::parseOptionGeneric()
  0.00      0.17     0.00     7247     0.00     0.00  MutexLock::MutexLock(IMutex*)
  0.00      0.17     0.00     7158     0.00     0.00  Buffer::clear()
  0.00      0.17     0.00     6824     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.17     0.00     6792     0.00     0.00  std::map<std::string, void*, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::end() const
  0.00      0.17     0.00     6786     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_M_end() const
  0.00      0.17     0.00     6782     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, void*> > const*)
  0.00      0.17     0.00     6778     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.17     0.00     6774     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::_M_begin() const
  0.00      0.17     0.00     6772     0.00     0.00  std::map<std::string, void*, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::find(std::string const&) const
