Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00    11186     0.00     0.00  std::_List_base<std::string*, std::allocator<std::string*> >::_M_get_Tp_allocator() const
  0.00      0.10     0.00    10789     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.10     0.00    10112     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator->() const
  0.00      0.10     0.00    10082     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_leftmost()
  0.00      0.10     0.00    10077     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
  0.00      0.10     0.00     9890     0.00     0.00  std::_List_const_iterator<std::string*>::_List_const_iterator(std::_List_node_base const*)
  0.00      0.10     0.00     9831     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::difference_type std::distance<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >)
  0.00      0.10     0.00     9815     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::end() const
  0.00      0.10     0.00     9792     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::iterator_category std::__iterator_category<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > const&)
  0.00      0.10     0.00     9791     0.00     0.00  std::list<zAPI::IModuleInfo*, std::allocator<zAPI::IModuleInfo*> >::end()
  0.00      0.10     0.00     9775     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::size() const
  0.00      0.10     0.00     9767     0.00     0.00  std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >::operator++()
  0.00      0.10     0.00     9764     0.00     0.00  std::list<zAPI::IModuleInfo*, std::allocator<zAPI::IModuleInfo*> >::begin()
  0.00      0.10     0.00     9760     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::difference_type std::__distance<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::input_iterator_tag)
  0.00      0.10     0.00     9733     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::begin() const
  0.00      0.10     0.00     9637     0.00     0.00  std::_List_const_iterator<std::string*>::operator!=(std::_List_const_iterator<std::string*> const&) const
  0.00      0.10     0.00     9636     0.00     0.00  HttpRequest::getRequestId() const
  0.00      0.10     0.00     9491     0.00     0.00  std::_Select1st<std::pair<std::string const, void*> >::operator()(std::pair<std::string const, void*> const&) const
  0.00      0.10     0.00     9486     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, void*>, std::_Select1st<std::pair<std::string const, void*> >, std::less<std::string>, std::allocator<std::pair<std::string const, void*> > >::end() const
  0.00      0.10     0.00     9443     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, void*> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, void*> > const&) const
  0.00      0.10     0.00     9442     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
  0.00      0.10     0.00     9026     0.00     0.00  std::_List_const_iterator<KeepAliveClient>::_List_const_iterator(std::_List_node_base const*)
  0.00      0.10     0.00     8822     0.00     0.00  Buffer::empty() const
  0.00      0.10     0.00     8793     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::max_size() const
  0.00      0.10     0.00     8789     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
  0.00      0.10     0.00     8787     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8783     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::operator[](std::string const&)
  0.00      0.10     0.00     8781     0.00     0.00  std::pair<std::string const, std::string>::pair(std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8776     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
